# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 350 03/24/2010 Service Pack 2 SJ Full Version
# File: E:\My_design\ADDA_DE4_530_HSMA\DE4_HSMA_DVI.csv
# Generated on: Tue Jul 13 14:05:45 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
,Unknown,PIN_AH22,3B,B3B_N0,,
,Unknown,PIN_AE23,3B,B3B_N0,,
,Unknown,PIN_AG22,3B,B3B_N0,,
,Unknown,PIN_AF22,3B,B3B_N0,,
,Unknown,PIN_AE22,3B,B3B_N0,,
,Unknown,PIN_AF23,3B,B3B_N0,,
,Unknown,PIN_AL23,3B,B3B_N0,,
,Unknown,PIN_AK23,3B,B3B_N0,,
,Unknown,PIN_AK24,3B,B3B_N0,,
,Unknown,PIN_AJ22,3B,B3B_N0,,
,Unknown,PIN_AJ23,3B,B3B_N0,,
,Unknown,PIN_AH23,3B,B3B_N0,,
,Unknown,PIN_AN23,3C,B3C_N0,,
,Unknown,PIN_AM23,3C,B3C_N0,,
,Unknown,PIN_AN22,3C,B3C_N0,,
,Unknown,PIN_AM22,3C,B3C_N0,,
,Unknown,PIN_AL21,3C,B3C_N0,,
,Unknown,PIN_AL22,3C,B3C_N0,,
,Unknown,PIN_AU24,3C,B3C_N0,,
,Unknown,PIN_AT24,3C,B3C_N0,,
,Unknown,PIN_AR23,3C,B3C_N0,,
,Unknown,PIN_AP23,3C,B3C_N0,,
,Unknown,PIN_AU23,3C,B3C_N0,,
,Unknown,PIN_AT23,3C,B3C_N0,,
,Unknown,PIN_AG20,3C,B3C_N0,,
,Unknown,PIN_AD21,3C,B3C_N0,,
,Unknown,PIN_AF20,3C,B3C_N0,,
,Unknown,PIN_AE20,3C,B3C_N0,,
,Unknown,PIN_AE21,3C,B3C_N0,,
,Unknown,PIN_AG21,3C,B3C_N0,,
,Unknown,PIN_AW25,3C,B3C_N0,,
,Unknown,PIN_AV25,3C,B3C_N0,,
,Unknown,PIN_AJ20,3C,B3C_N0,,
,Unknown,PIN_AH20,3C,B3C_N0,,
,Unknown,PIN_AW23,3C,B3C_N0,,
,Unknown,PIN_AV23,3C,B3C_N0,,
,Unknown,PIN_AP21,3C,B3C_N0,,
,Unknown,PIN_AN21,3C,B3C_N0,,
,Unknown,PIN_AU22,3C,B3C_N0,,
,Unknown,PIN_AT22,3C,B3C_N0,,
,Unknown,PIN_AW22,3C,B3C_N0,,
,Unknown,PIN_AT21,3C,B3C_N0,,
,Unknown,PIN_AR22,3C,B3C_N0,,
,Unknown,PIN_AK21,,,,
,Unknown,PIN_AL20,,,,
,Unknown,PIN_AK20,,,,
,Unknown,PIN_AK19,,,,
,Unknown,PIN_AL19,,,,
,Unknown,PIN_AK18,,,,
,Unknown,PIN_AW20,4C,B4C_N0,,
,Unknown,PIN_AW21,4C,B4C_N0,,
,Unknown,PIN_AW19,4C,B4C_N0,,
,Unknown,PIN_AR20,4C,B4C_N0,,
,Unknown,PIN_AT20,4C,B4C_N0,,
,Unknown,PIN_AN20,4C,B4C_N0,,
,Unknown,PIN_AP20,4C,B4C_N0,,
,Unknown,PIN_AU20,4C,B4C_N0,,
,Unknown,PIN_AV20,4C,B4C_N0,,
,Unknown,PIN_AH18,4C,B4C_N0,,
,Unknown,PIN_AT19,4C,B4C_N0,,
,Unknown,PIN_AU19,4C,B4C_N0,,
,Unknown,PIN_AD19,4C,B4C_N0,,
,Unknown,PIN_AG19,4C,B4C_N0,,
,Unknown,PIN_AE19,4C,B4C_N0,,
,Unknown,PIN_AF19,4C,B4C_N0,,
,Unknown,PIN_AG18,4C,B4C_N0,,
,Unknown,PIN_AE18,4C,B4C_N0,,
,Unknown,PIN_AT18,4C,B4C_N0,,
,Unknown,PIN_AU18,4C,B4C_N0,,
,Unknown,PIN_AT17,4C,B4C_N0,,
,Unknown,PIN_AW18,4C,B4C_N0,,
,Unknown,PIN_AU17,4C,B4C_N0,,
,Unknown,PIN_AV17,4C,B4C_N0,,
,Unknown,PIN_AN19,4C,B4C_N0,,
,Unknown,PIN_AM19,4C,B4C_N0,,
,Unknown,PIN_AN18,4C,B4C_N0,,
,Unknown,PIN_AP18,4C,B4C_N0,,
,Unknown,PIN_AR19,4C,B4C_N0,,
,Unknown,PIN_AP19,4C,B4C_N0,,
,Unknown,PIN_AK17,4B,B4B_N0,,
,Unknown,PIN_AL17,4B,B4B_N0,,
,Unknown,PIN_AJ16,4B,B4B_N0,,
,Unknown,PIN_AM17,4B,B4B_N0,,
,Unknown,PIN_AK16,4B,B4B_N0,,
,Unknown,PIN_AL16,4B,B4B_N0,,
,Unknown,PIN_AH17,4B,B4B_N0,,
,Unknown,PIN_AE17,4B,B4B_N0,,
,Unknown,PIN_AF17,4B,B4B_N0,,
,Unknown,PIN_AG17,4B,B4B_N0,,
,Unknown,PIN_AH16,4B,B4B_N0,,
,Unknown,PIN_AG16,4B,B4B_N0,,
,Unknown,PIN_AP17,4B,B4B_N0,,
,Unknown,PIN_AR17,4B,B4B_N0,,
,Unknown,PIN_AN16,4B,B4B_N0,,
,Unknown,PIN_AN17,4B,B4B_N0,,
,Unknown,PIN_AP16,4B,B4B_N0,,
,Unknown,PIN_AR16,4B,B4B_N0,,
,Unknown,PIN_AW16,4B,B4B_N0,,
,Unknown,PIN_AT16,4B,B4B_N0,,
,Unknown,PIN_AU16,4B,B4B_N0,,
,Unknown,PIN_AV16,4B,B4B_N0,,
,Unknown,PIN_AU15,4B,B4B_N0,,
,Unknown,PIN_AT15,4B,B4B_N0,,
,Unknown,PIN_AN15,4A,B4A_N0,,
,Unknown,PIN_AP15,4A,B4A_N0,,
,Unknown,PIN_AE16,4A,B4A_N0,,
,Unknown,PIN_AF16,4A,B4A_N0,,
,Unknown,PIN_AV14,4A,B4A_N0,,
,Unknown,PIN_AW14,4A,B4A_N0,,
,Unknown,PIN_AT14,4A,B4A_N0,,
,Unknown,PIN_AU14,4A,B4A_N0,,
,Unknown,PIN_AV13,4A,B4A_N0,,
,Unknown,PIN_AW13,4A,B4A_N0,,
,Unknown,PIN_AW12,4A,B4A_N0,,
,Unknown,PIN_AW11,4A,B4A_N0,,
,Unknown,PIN_AU11,4A,B4A_N0,,
,Unknown,PIN_AV11,4A,B4A_N0,,
,Unknown,PIN_AT12,4A,B4A_N0,,
,Unknown,PIN_AU12,4A,B4A_N0,,
,Unknown,PIN_AP14,4A,B4A_N0,,
,Unknown,PIN_AR14,4A,B4A_N0,,
,Unknown,PIN_AP13,4A,B4A_N0,,
,Unknown,PIN_AN14,4A,B4A_N0,,
,Unknown,PIN_AR13,4A,B4A_N0,,
,Unknown,PIN_AT13,4A,B4A_N0,,
,Unknown,PIN_AN13,4A,B4A_N0,,
,Unknown,PIN_AL15,4A,B4A_N0,,
,Unknown,PIN_AL13,4A,B4A_N0,,
,Unknown,PIN_AM13,4A,B4A_N0,,
,Unknown,PIN_AL14,4A,B4A_N0,,
,Unknown,PIN_AM14,4A,B4A_N0,,
,Unknown,PIN_AJ13,4A,B4A_N0,,
,Unknown,PIN_AK13,4A,B4A_N0,,
,Unknown,PIN_AH13,4A,B4A_N0,,
,Unknown,PIN_AK14,4A,B4A_N0,,
,Unknown,PIN_AH14,4A,B4A_N0,,
,Unknown,PIN_AJ14,4A,B4A_N0,,
,Unknown,PIN_AG14,4A,B4A_N0,,
,Unknown,PIN_AG15,4A,B4A_N0,,
,Unknown,PIN_AE14,4A,B4A_N0,,
,Unknown,PIN_AF14,4A,B4A_N0,,
,Unknown,PIN_AD15,4A,B4A_N0,,
,Unknown,PIN_AE15,4A,B4A_N0,,
,Unknown,PIN_AK11,,,,
,Unknown,PIN_AL11,,,,
,Unknown,PIN_AM11,1A,,,
,Unknown,PIN_AT11,1A,,,
,Unknown,PIN_AR11,1A,,,
,Unknown,PIN_AP11,1A,,,
,Unknown,PIN_AN11,1A,,,
,Unknown,PIN_AM10,5A,B5A_N0,,
,Unknown,PIN_AL10,5A,B5A_N0,,
,Unknown,PIN_AW7,5A,B5A_N0,,
,Unknown,PIN_AV7,5A,B5A_N0,,
