# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 10.0 Build 262 08/18/2010 Service Pack 1 SJ Full Version
# File: D:/test_1/DE2_70_ADA/DE2_70_ADA.csv
# Generated on: Tue Sep 07 22:51:53 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,I/O Standard,Reserved
GPIO_0[13],Unknown,PIN_G30,5,,
GPIO_0[14],Unknown,PIN_H29,5,,
GPIO_0[15],Unknown,PIN_H30,5,,
GPIO_0[16],Unknown,PIN_J29,5,,
GPIO_0[17],Unknown,PIN_H25,5,,
GPIO_0[18],Unknown,PIN_J30,5,,
GPIO_0[19],Unknown,PIN_H24,5,,
GPIO_0[2],Unknown,PIN_E28,5,,
GPIO_0[20],Unknown,PIN_J25,5,,
GPIO_0[21],Unknown,PIN_K24,5,,
GPIO_0[22],Unknown,PIN_J24,5,,
GPIO_0[23],Unknown,PIN_K25,5,,
GPIO_0[24],Unknown,PIN_L22,5,,
GPIO_0[25],Unknown,PIN_M21,5,,
GPIO_0[26],Unknown,PIN_L21,5,,
GPIO_0[27],Unknown,PIN_M22,5,,
GPIO_0[28],Unknown,PIN_N22,5,,
GPIO_0[29],Unknown,PIN_N25,5,,
GPIO_0[3],Unknown,PIN_D29,5,,
GPIO_0[30],Unknown,PIN_N21,5,,
GPIO_0[31],Unknown,PIN_N24,5,,
GPIO_1[0],Unknown,PIN_G27,5,,
GPIO_1[1],Unknown,PIN_G28,5,,
GPIO_1[2],Unknown,PIN_H27,5,,
GPIO_1[3],Unknown,PIN_L24,5,,
GPIO_1[4],Unknown,PIN_H28,5,,
GPIO_1[5],Unknown,PIN_L25,5,,
GPIO_1[6],Unknown,PIN_K27,5,,
GPIO_1[7],Unknown,PIN_L28,5,,
GPIO_0[4],Unknown,PIN_E27,5,,
GPIO_1[8],Unknown,PIN_K28,5,,
GPIO_1[9],Unknown,PIN_L27,5,,
GPIO_1[10],Unknown,PIN_K29,5,,
GPIO_1[11],Unknown,PIN_M25,5,,
GPIO_1[12],Unknown,PIN_K30,5,,
GPIO_1[13],Unknown,PIN_M24,5,,
GPIO_1[14],Unknown,PIN_L29,5,,
GPIO_1[15],Unknown,PIN_L30,5,,
GPIO_1[16],Unknown,PIN_P26,5,,
GPIO_1[17],Unknown,PIN_P28,5,,
GPIO_0[5],Unknown,PIN_D28,5,,
GPIO_1[18],Unknown,PIN_P25,5,,
GPIO_1[19],Unknown,PIN_P27,5,,
GPIO_1[20],Unknown,PIN_M29,5,,
GPIO_1[21],Unknown,PIN_R26,5,,
GPIO_1[22],Unknown,PIN_M30,5,,
GPIO_1[23],Unknown,PIN_R27,5,,
GPIO_1[24],Unknown,PIN_P24,5,,
GPIO_1[25],Unknown,PIN_N28,5,,
GPIO_1[26],Unknown,PIN_P23,5,,
GPIO_1[27],Unknown,PIN_N29,5,,
GPIO_0[6],Unknown,PIN_E29,5,,
GPIO_1[28],Unknown,PIN_R23,5,,
GPIO_1[29],Unknown,PIN_P29,5,,
GPIO_1[30],Unknown,PIN_R22,5,,
GPIO_1[31],Unknown,PIN_P30,5,,
GPIO_0[7],Unknown,PIN_G25,5,,
GPIO_0[8],Unknown,PIN_E30,5,,
GPIO_0[9],Unknown,PIN_G26,5,,
oHEX0_D[0],Unknown,PIN_AE8,8,,
oHEX0_D[1],Unknown,PIN_AF9,8,,
oHEX0_D[2],Unknown,PIN_AH9,8,,
oHEX0_D[3],Unknown,PIN_AD10,8,,
oHEX0_D[4],Unknown,PIN_AF10,8,,
oHEX0_D[5],Unknown,PIN_AD11,8,,
oHEX0_D[6],Unknown,PIN_AD12,8,,
oHEX0_DP,Unknown,PIN_AF12,8,,
oHEX1_D[0],Unknown,PIN_AG13,8,,
oHEX1_D[1],Unknown,PIN_AE16,7,,
oHEX1_D[2],Unknown,PIN_AF16,7,,
oHEX1_D[3],Unknown,PIN_AG16,7,,
oHEX1_D[4],Unknown,PIN_AE17,7,,
oHEX1_D[5],Unknown,PIN_AF17,7,,
oHEX1_D[6],Unknown,PIN_AD17,7,,
oHEX1_DP,Unknown,PIN_AC17,7,,
oHEX2_D[0],Unknown,PIN_AE7,8,,
oHEX2_D[1],Unknown,PIN_AF7,8,,
oHEX2_D[2],Unknown,PIN_AH5,8,,
oHEX2_D[3],Unknown,PIN_AG4,8,,
oHEX2_D[4],Unknown,PIN_AB18,7,,
oHEX2_D[5],Unknown,PIN_AB19,7,,
oHEX2_D[6],Unknown,PIN_AE19,7,,
oHEX2_DP,Unknown,PIN_AC19,7,,
oHEX3_D[0],Unknown,PIN_P6,2,,
oHEX3_D[1],Unknown,PIN_P4,2,,
oHEX3_D[2],Unknown,PIN_N10,2,,
oHEX3_D[3],Unknown,PIN_N7,2,,
oHEX3_D[4],Unknown,PIN_M8,2,,
oHEX3_D[5],Unknown,PIN_M7,2,,
oHEX3_D[6],Unknown,PIN_M6,2,,
oHEX3_DP,Unknown,PIN_M4,2,,
oHEX4_D[0],Unknown,PIN_P1,2,,
oHEX4_D[1],Unknown,PIN_P2,2,,
oHEX4_D[2],Unknown,PIN_P3,2,,
oHEX4_D[3],Unknown,PIN_N2,2,,
oHEX4_D[4],Unknown,PIN_N3,2,,
oHEX4_D[5],Unknown,PIN_M1,2,,
oHEX4_D[6],Unknown,PIN_M2,2,,
oHEX4_DP,Unknown,PIN_L6,2,,
oHEX5_D[0],Unknown,PIN_M3,2,,
oHEX5_D[1],Unknown,PIN_L1,2,,
oHEX5_D[2],Unknown,PIN_L2,2,,
oHEX5_D[3],Unknown,PIN_L3,2,,
oHEX5_D[4],Unknown,PIN_K1,2,,
oHEX5_D[5],Unknown,PIN_K4,2,,
oHEX5_D[6],Unknown,PIN_K5,2,,
oHEX5_DP,Unknown,PIN_K6,2,,
oHEX6_D[0],Unknown,PIN_H6,2,,
oHEX6_D[1],Unknown,PIN_H4,2,,
oHEX6_D[2],Unknown,PIN_H7,2,,
oHEX6_D[3],Unknown,PIN_H8,2,,
oHEX6_D[4],Unknown,PIN_G4,2,,
oHEX6_D[5],Unknown,PIN_F4,2,,
oHEX6_D[6],Unknown,PIN_E4,2,,
oHEX6_DP,Unknown,PIN_K2,2,,
oHEX7_D[0],Unknown,PIN_K3,2,,
oHEX7_D[1],Unknown,PIN_J1,2,,
oHEX7_D[2],Unknown,PIN_J2,2,,
oHEX7_D[3],Unknown,PIN_H1,2,,
oHEX7_D[4],Unknown,PIN_H2,2,,
oHEX7_D[5],Unknown,PIN_H3,2,,
oHEX7_D[6],Unknown,PIN_G1,2,,
oHEX7_DP,Unknown,PIN_G2,2,,
oI2C_SCLK,Unknown,PIN_J18,4,,
I2C_SDAT,Unknown,PIN_H18,4,,
iIRDA_RXD,Unknown,PIN_W22,6,,
oIRDA_TXD,Unknown,PIN_W21,6,,
