Signal Legend:

Key        Signal Name

0        = DA_A
1        = AD_B
2        = bitstream_out
3        = fifo_wr
4        = fifo_read_en
5        = bitstream_in
6        = fifo_empty
7        = fifo_full
8        = Demod_0
9        = Demod_1
10       = Valid_RX
11       = DA_B[19..33]
12       = AD_A[17..31]
13       = SW[6]
14       = SW[7]
15       = SW[8]
16       = SW[9]
17       = LEDR[3]
18       = LEDR[4]
19       = LEDR[5]
20       = LEDR[9]
21       = SW[3]
22       = SW[4]
23       = SW[5]
24       = GPIO_0[0]
25       = GPIO_0[16]
26       = GPIO_0[18]
27       = GPIO_1[0]
28       = GPIO_0[2]
29       = GPIO_0[32]
30       = GPIO_0[33]
31       = GPIO_0[34]
32       = GPIO_0[35]
33       = GPIO_1[16]
34       = GPIO_1[17]
35       = GPIO_1[18]
36       = GPIO_1[20]
37       = GPIO_1[2]
38       = GPIO_1[34]
39       = GPIO_1[35]
40       = KEY_N[0]
41       = KEY_N[1]
42       = KEY_N[2]
43       = KEY_N[3]

Data Table:

Signals-> 0     1     2 3 4 5 6 7 8 9 10 11    12    13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 

sample

72        -3788 -6820 1 1 0 0 0 0 0 0 0  12596 7166  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
73        -4948 -6844 1 1 1 0 0 0 0 0 0  11436 15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
74        -5667 -6796 1 0 1 0 0 0 0 0 0  10717 2046  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
75        -4312 -6871 1 0 0 0 0 0 0 0 0  12072 15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
76        -2221 -6926 1 1 0 0 0 0 0 0 0  14163 2046  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
77        -1    -6942 1 1 1 0 0 0 0 0 0  16383 15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
78        2218  -6787 1 0 1 0 0 0 0 0 0  2218  12286 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
79        4733  -6882 1 0 0 0 0 0 0 0 0  4733  2046  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
80        5664  -7313 1 1 0 0 0 0 0 0 0  5664  7166  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
81        4946  -7601 1 1 1 0 0 0 0 0 0  4946  7166  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
82        3785  -7169 1 0 1 0 0 0 0 0 0  3785  3070  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
83        3885  -6438 1 0 0 0 0 0 0 0 0  3885  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
84        4096  -5722 1 1 0 0 0 0 0 0 0  4096  10238 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
85        4098  5555  0 1 1 0 0 0 0 0 0  4098  6142  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
86        4096  6414  0 0 1 0 0 0 0 0 0  4096  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
87        3885  6861  0 0 0 0 0 0 0 0 0  3885  2046  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
88        4096  6652  1 1 0 0 0 0 0 0 0  4096  11262 0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
89        4098  6313  0 1 1 0 0 0 0 0 0  4098  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
90        4096  6365  0 0 1 0 0 0 0 0 0  4096  11262 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
91        3462  6477  0 0 0 0 0 0 0 0 0  3462  7166  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
92        3785  6542  1 1 0 0 0 0 0 0 0  3785  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
93        4946  6574  0 1 1 0 0 0 0 0 0  4946  10238 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
94        5664  6538  0 0 1 0 0 0 0 0 0  5664  15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
95        4310  6646  0 0 0 0 0 0 0 0 0  4310  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
96        2218  6671  1 1 0 0 0 0 0 0 0  2218  2046  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
